a,G,F_imp,u_imp,cmod,l,u,F,fracture_dissipation
0.0005,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0005,5035.6870128900055,990.4690756063235,6.000000001912743e-06,3.8531051915871553e-07,0.7322384288025422,4.393430574215837e-06,725.2595196994807,0.0
0.0005140625,5041.751985702728,966.8127054768132,5.999999996673698e-06,1.1068044880095146e-06,0.7317978733610881,4.390787237732349e-06,707.511481806412,3.796874999999988e-05
0.0005281250000000001,5049.061511492652,943.2400345865456,5.999999996777745e-06,1.5961049411442542e-06,0.7312679696562114,4.387607815580937e-06,689.7612249905578,7.59375e-05
0.0005421875,5057.549032222834,919.4446292605885,6.000000005024278e-06,1.9467605246010123e-06,0.7306541092484771,4.383924659161872e-06,671.7959965956916,0.00011390624999999987
0.00055625,5066.997964965005,895.921512901186,5.999999996455984e-06,2.224014127360522e-06,0.7299725298216123,4.37983517634264e-06,653.998093294085,0.000151875
0.0005703125,5077.32791957139,873.0108589774873,6.0000000033382815e-06,2.4561039850817413e-06,0.7292295777707767,4.375377469059034e-06,636.6253400814561,0.00018984374999999988
0.000584375,5088.584043110369,848.1354672275439,6.00000000071618e-06,2.655724473192654e-06,0.7284225907550098,4.370535545051741e-06,617.8010343490982,0.0002278125
0.0005984375,5100.412781784703,824.108703369924,5.999999998009786e-06,2.8302046672379257e-06,0.7275774315174377,4.3654645876565915e-06,599.6028936890552,0.00026578124999999985
0.0006125,5112.993415255889,800.1945678015683,5.999999997839399e-06,2.985127412302062e-06,0.7266817700420306,4.360090618682114e-06,581.4868049080613,0.00030375
0.0006265625,5125.826752459446,776.7335648234161,6.000000000175413e-06,3.122254815740354e-06,0.725771517209027,4.3546291033814715e-06,563.7310978090669,0.00034171874999999985
0.000640625,5139.0442936273785,752.4833849871384,6.000000000036742e-06,3.245780960324509e-06,0.7248375798356164,4.34902547904033e-06,545.4282356405897,0.0003796875
0.0006546875,5152.383047704306,727.8274935078271,5.999999998804981e-06,3.3571549817013618e-06,0.7238987234094838,4.34339233959183e-06,526.8733934126403,0.00041765624999999984
0.0006687500000000001,5165.71992788612,704.096613957274,6.000000001866719e-06,3.4577008711673155e-06,0.7229636368899724,4.337781822689405e-06,509.03624874846577,0.0004556250000000002
0.0006828125,5178.797770336626,679.6105155890633,6.0000000009610285e-06,3.5489936210859966e-06,0.7220502220895558,4.332301333231246e-06,490.7129237154807,0.0004935937500000001
0.000696875,5191.45125483624,655.5390801708112,6.000000003705326e-06,3.632281393437079e-06,0.7211697336802294,4.327018404753546e-06,472.75494386376647,0.0005315624999999999
0.0007109375,5203.48030004599,631.0779802829358,6.000000000504632e-06,3.7080681535555326e-06,0.7203356762619673,4.322014057935308e-06,454.587983701145,0.0005695312499999998
0.000725,5214.602128091997,606.7248329072335,5.999999997334269e-06,3.7772934145084238e-06,0.7195670916562604,4.31740254801939e-06,436.5792234506886,0.0006074999999999998
0.0007390625,5224.678314688708,582.370042563695,5.999999999126958e-06,3.840836094425341e-06,0.7188728870561952,4.313237321709565e-06,418.65003383280276,0.0006454687500000001
0.000753125,5233.499390438885,557.5640882066526,5.999999999187093e-06,3.899171921694907e-06,0.7182668005724736,4.309600802850958e-06,400.47977375030086,0.0006834374999999997
0.0007671875000000001,5240.881553796995,532.9275936052246,5.999999999168231e-06,3.95299540404571e-06,0.7177607567600592,4.306564539963344e-06,382.5145128844033,0.0007214062500000003
0.00078125,5246.670947936378,509.05841236555926,6.000000004411474e-06,4.0022462446129165e-06,0.717364643977029,4.30418786702681e-06,365.18050675013103,0.000759375
0.0007953125,5251.021914157743,483.9534795250451,6.000000000643441e-06,4.048299693967105e-06,0.7170673803004052,4.302404282263822e-06,347.0272537502899,0.00079734375
0.000809375,5253.981475680041,459.2031905392816,6.000000001742702e-06,4.09062500382659e-06,0.7168653902495692,4.301192342746698e-06,329.18687438978935,0.0008353124999999997
0.0008234375,5255.928524713596,434.7272457122045,6.000000006919487e-06,4.12947176508721e-06,0.7167325972189984,4.300395588273412e-06,311.58318790117,0.0008732812499999998
0.0008375,5257.676304049235,409.8096302384593,6.000000000268031e-06,4.164888217623996e-06,0.7166134576529962,4.299680746110052e-06,293.6750961046782,0.00091125
0.0008515625,5260.440006759262,385.0596824051553,5.999999997349807e-06,4.196382706271738e-06,0.7164251875892911,4.298551123637081e-06,275.86645520018624,0.00094921875
0.0008656250000000001,5266.13231878684,360.1613484863887,6.00000000570942e-06,4.223330757589595e-06,0.7160378807292432,4.2962272884636205e-06,257.8891686907802,0.0009871875000000002
0.0008796875,5277.994713345274,335.31634041362895,5.999999998817254e-06,4.244816649097488e-06,0.7152327736519712,4.291396641065889e-06,239.8292362048684,0.0010251562500000002
0.00089375,5300.791679849024,310.36271566635764,6.000000003614261e-06,4.258783723588193e-06,0.7136931256965234,4.282158756758614e-06,221.50373664358415,0.0010631249999999998
0.0009078125,5342.144126835733,285.4867737596154,5.999999997679642e-06,4.262247519773239e-06,0.7109254829660006,4.265552896146402e-06,202.9598225154599,0.00110109375
0.000921875,5415.09920813386,260.06447749368357,6.000000003040416e-06,4.2504124672447565e-06,0.7061202613570385,4.23672157028913e-06,183.6367968175215,0.0011390624999999997
0.0009359374999999999,5541.980674965523,234.1669204272887,5.999999999299374e-06,4.215258364258284e-06,0.6979902860119347,4.187941715582578e-06,163.4462357635772,0.0011770312499999997
0.00095,5769.894755814816,207.71205791644036,6.000000004687049e-06,4.141550873936296e-06,0.6840658912756057,4.1043953508598845e-06,142.0887340273,0.001215
0.0009581575504824936,5984.030037789125,191.59122242592966,5.999999995718448e-06,4.071162472455133e-06,0.6717149273836236,4.030289561425759e-06,128.69468405917303,0.0012370253863027325
0.0009649841883674988,6245.947501169618,177.58702872900025,6.000000000207799e-06,3.9875108218081166e-06,0.6574802586081483,3.944881551785514e-06,116.75996557419575,0.0012554573085922468
0.0009706970533890512,6558.088045541191,165.4729915113611,6.0000000000345845e-06,3.892871955995765e-06,0.641642704349981,3.849856226122077e-06,106.1745377702312,0.0012708820441504384
0.0009754778587143438,6925.40087772172,154.7817183089961,5.999999999711218e-06,3.788777178847424e-06,0.6243950094450007,3.74637005648969e-06,96.64493246545905,0.0012837902185287282
0.0009794786708238754,7353.968736737924,145.1384267488491,6.000000002562064e-06,3.67670582861817e-06,0.6059279591111053,3.635567756219058e-06,87.94343070852679,0.0012945924112244636
0.0009828267463983175,7845.637736457547,136.72922298053766,5.999999998380529e-06,3.5592328278615874e-06,0.5866347110040322,3.519808265074155e-06,80.21010820899359,0.0013036322152754575
0.0009856285800624053,8410.942980491674,129.0109149364108,5.999999999126134e-06,3.4369154325561205e-06,0.5665777790590271,3.3994666738590493e-06,73.0947176590447,0.0013111971661684944
0.0009879732917353263,9061.207876517865,122.2558496858158,6.000000008493124e-06,3.310513017414014e-06,0.5458695075672694,3.2752170500397536e-06,66.73574046521438,0.001317527887685381
0.0009899354613314723,9803.86296251955,116.16157778014234,5.999999998148997e-06,3.1818235171877307e-06,0.5247872390810366,3.148723433514837e-06,60.96011369053799,0.001322825745594975
0.0009915775009769028,10628.19032454943,110.41363852937076,5.999999994410989e-06,3.0550780642488153e-06,0.5040251651597824,3.024150988141692e-06,55.6512523956586,0.0013272592526376373
0.000992951640196296,11595.94551755055,105.38289743535009,5.999999998412404e-06,2.9239673102380566e-06,0.4825349769089021,2.895209860687342e-06,50.85093398055986,0.0013309694285299997
0.000994101587214646,12684.92819745067,100.75709488156785,6.000000004503653e-06,2.7948292462313225e-06,0.46135780848859764,2.7681468530093816e-06,46.48507248423784,0.0013340742854795443
0.0009950639192159083,13933.57887155923,96.52430045782552,5.999999999156726e-06,2.665874514529303e-06,0.44020051057106335,2.6412030630551707e-06,42.49004634404952,0.001336672581882952
0.0009958692457795462,15351.158407657702,92.59568190033414,5.999999999089059e-06,2.5390844637815108e-06,0.41938346685572636,2.516300800752325e-06,38.833098091232166,0.0013388469636047744
0.0009965431825012287,16916.1065338462,89.01964908713688,5.999999998962073e-06,2.4181167247676836e-06,0.39951369972030915,2.397082197907189e-06,35.564569354605695,0.0013406665927533173
0.0009971071657663285,18728.909302143304,85.60730352233352,6.000000001878474e-06,2.2974999145806207e-06,0.37968692229516576,2.2781215344842265e-06,32.50397360038292,0.0013421893475690867
0.0009975791345923019,20846.882893499947,82.50600734663749,6.000000000712661e-06,2.177098040255843e-06,0.3598829888732429,2.1592979334959317e-06,29.692508523905634,0.001343463663399215
0.0009979741012277942,23237.27740507818,79.76289265957335,6.000000002597583e-06,2.0615805527396445e-06,0.3408703768743781,2.0452222621317077e-06,27.188807281459336,0.0013445300733150442
0.000998304628657928,25864.633689933944,76.98233046219299,5.999999998038957e-06,1.953608623980639e-06,0.32309386832173215,1.938563209296792e-06,24.87251894145185,0.0013454224973764055
0.0009985812302041185,28962.29211804571,74.59439972388938,6.000000000062309e-06,1.8457729270227406e-06,0.3053271453358167,1.8319628720339245e-06,22.775695125733975,0.0013461693215511196
0.0009988127039287774,32400.702017879183,72.17514363425403,5.999999999297287e-06,1.7447038748658418e-06,0.28867200725202596,1.7320320433093023e-06,20.834943586603394,0.0013467943006076988
0.0009990064124815506,36399.937471908444,69.97092544801468,5.999999999914888e-06,1.6457401664422528e-06,0.2723526236253718,1.6341157417290503e-06,19.056765123262096,0.0013473173137001867
0.0009991685172883612,40875.90179580629,67.9311722821161,5.999999997996052e-06,1.5527230900419058e-06,0.2570089270407033,1.5420535617291876e-06,17.458917700843823,0.001347754996678575
0.0009993041745322716,46218.23830562224,65.97162003849857,6.000000001965851e-06,1.4599497429167757e-06,0.2416991863000253,1.4501951182752963e-06,15.945286882199548,0.001348121271237133
0.0009994176991598715,52271.70793057574,64.15883313942021,6.000000000531174e-06,1.3725724558860305e-06,0.22727336221775307,1.3636401734272401e-06,14.581593723563829,0.0013484277877316533
0.0009995127021298585,58842.20499750383,62.3742909365902,5.999999998500203e-06,1.2934510015865845e-06,0.2142088515107343,1.285253108743136e-06,13.36112522532339,0.0013486842957506177
0.0009995922052693723,66965.26016745759,60.73011186219498,6.000000002131807e-06,1.212272514237109e-06,0.20079694539158122,1.2047816727775475e-06,12.194420955217785,0.0013488989542273053
0.000999658737391404,75805.57137708538,59.15897886294022,5.999999997588464e-06,1.1392164237419954e-06,0.18872581925313095,1.1323549150636666e-06,11.16482675208705,0.0013490785909567912
0.0009997144147305523,86002.40439602517,57.645056348696734,5.999999999238452e-06,1.069391544746534e-06,0.17718485010761068,1.0631091005107293e-06,10.213830668588601,0.001349228919772491
0.0009997610082556037,97830.38823536462,56.32366641617792,6.000000000142849e-06,1.0025263808716303e-06,0.16612882507023743,9.96772950445156e-07,9.35698452536763,0.00134935472229013
0.0009998000000000001,111669.47980817423,54.99115050820637,5.999999999658864e-06,9.382294984602507e-07,0.15549435798578934,9.329661478616914e-07,8.550813643173463,0.00134946
